sample_id,cell_line,tissue_site
CH157MN_CENTRAL_NERVOUS_SYSTEM,CH157MN_CENTRAL_NERVOUS,SYSTEM
MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLP2_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SCC25_UPPER_AERODIGESTIVE_TRACT,SCC25_UPPER_AERODIGESTIVE,TRACT
UT7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,UT7_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
MHHNB11_AUTONOMIC_GANGLIA,MHHNB11_AUTONOMIC,GANGLIA
HCC1806_BREAST,HCC1806,BREAST
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
MKN7_STOMACH,MKN7,STOMACH
SW1710_URINARY_TRACT,SW1710_URINARY,TRACT
MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLT13_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SR786_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SCC15_UPPER_AERODIGESTIVE_TRACT,SCC15_UPPER_AERODIGESTIVE,TRACT
RS5_FIBROBLAST,RS5,FIBROBLAST
NCIH2126_LUNG,NCIH2126,LUNG
NCIH2141_LUNG,NCIH2141,LUNG
NCIH1385_LUNG,NCIH1385,LUNG
HCC827_LUNG,HCC827,LUNG
RD_SOFT_TISSUE,RD_SOFT,TISSUE
TT_THYROID,TT,THYROID
TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TF1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
HS172T_FIBROBLAST,HS172T,FIBROBLAST
HS834T_FIBROBLAST,HS834T,FIBROBLAST
TE125T_FIBROBLAST,TE125T,FIBROBLAST
8305C_THYROID,8305C,THYROID
UACC812_BREAST,UACC812,BREAST
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DND41_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ME1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
DM3_FIBROBLAST,DM3,FIBROBLAST
JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JEKO1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JJN3_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
CL14_LARGE_INTESTINE,CL14_LARGE,INTESTINE
KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KYO1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
JL1_PLEURA,JL1,PLEURA
CAL148_BREAST,CAL148,BREAST
NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NALM19_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HPBALL_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUPT11_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
CL40_LARGE_INTESTINE,CL40_LARGE,INTESTINE
MDAMB134VI_BREAST,MDAMB134VI,BREAST
HCC1500_BREAST,HCC1500,BREAST
HCC1599_BREAST,HCC1599,BREAST
SUPHD1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUPHD1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
MOTN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOTN1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
RH41_SOFT_TISSUE,RH41_SOFT,TISSUE
OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCILY19_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM6_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKMM2_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
HS698T_FIBROBLAST,HS698T,FIBROBLAST
UACC893_BREAST,UACC893,BREAST
MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MINO_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
CHP126_AUTONOMIC_GANGLIA,CHP126_AUTONOMIC,GANGLIA
COLO680N_OESOPHAGUS,COLO680N,OESOPHAGUS
COLO678_LARGE_INTESTINE,COLO678_LARGE,INTESTINE
LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LAMA84_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CMLT1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EHEB_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
CAL54_KIDNEY,CAL54,KIDNEY
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BV173_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NALM6_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
VMCUB1_URINARY_TRACT,VMCUB1_URINARY,TRACT
LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LP1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
LXF289_LUNG,LXF289,LUNG
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PF382_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NALM1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KE37_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JK1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RI1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L540_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
CAL78_BONE,CAL78,BONE
HDQP1_BREAST,HDQP1,BREAST
MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
ONCODG1_OVARY,ONCODG1,OVARY
HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HDLM2_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
CAL29_URINARY_TRACT,CAL29_URINARY,TRACT
KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KOPN8_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SCLC21H_LUNG,SCLC21H,LUNG
CALU3_LUNG,CALU3,LUNG
NCIH1435_LUNG,NCIH1435,LUNG
NCIH2009_LUNG,NCIH2009,LUNG
NCIH1869_LUNG,NCIH1869,LUNG
HS852T_SKIN,HS852T,SKIN
HCC1419_BREAST,HCC1419,BREAST
BT483_BREAST,BT483,BREAST
HS281T_FIBROBLAST,HS281T,FIBROBLAST
HS934T_FIBROBLAST,HS934T,FIBROBLAST
HCC4006_LUNG,HCC4006,LUNG
HCC1428_BREAST,HCC1428,BREAST
KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KU812_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SHP77_LUNG,SHP77,LUNG
TE441T_SOFT_TISSUE,TE441T_SOFT,TISSUE
NB1_AUTONOMIC_GANGLIA,NB1_AUTONOMIC,GANGLIA
HS274T_FIBROBLAST,HS274T,FIBROBLAST
PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
ZR7530_BREAST,ZR7530,BREAST
HS863T_FIBROBLAST,HS863T,FIBROBLAST
NCIH841_LUNG,NCIH841,LUNG
HS821T_FIBROBLAST,HS821T,FIBROBLAST
NCIH1944_LUNG,NCIH1944,LUNG
NCIH2405_LUNG,NCIH2405,LUNG
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DEL_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
BEN_LUNG,BEN,LUNG
COLO320_LARGE_INTESTINE,COLO320_LARGE,INTESTINE
RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
BFTC905_URINARY_TRACT,BFTC905_URINARY,TRACT
BFTC909_KIDNEY,BFTC909,KIDNEY
MHHES1_BONE,MHHES1,BONE
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JVM3_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NOMO1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
NCIH727_LUNG,NCIH727,LUNG
HS343T_FIBROBLAST,HS343T,FIBROBLAST
HCC2935_LUNG,HCC2935,LUNG
HS888T_FIBROBLAST,HS888T,FIBROBLAST
MKN45_STOMACH,MKN45,STOMACH
8505C_THYROID,8505C,THYROID
KU1919_URINARY_TRACT,KU1919_URINARY,TRACT
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KCL22_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
CADOES1_BONE,CADOES1,BONE
S117_THYROID,S117,THYROID
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EM2_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OPM2_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
CAL62_THYROID,CAL62,THYROID
LCLC103H_LUNG,LCLC103H,LUNG
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JURKAT_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,697_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,M07E_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L428_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
LCLC97TM1_LUNG,LCLC97TM1,LUNG
2313287_STOMACH,2313287,STOMACH
BHT101_THYROID,BHT101,THYROID
JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JVM2_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
CAL51_BREAST,CAL51,BREAST
L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L363_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMH2_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SIMA_AUTONOMIC_GANGLIA,SIMA_AUTONOMIC,GANGLIA
NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
BC3C_URINARY_TRACT,BC3C_URINARY,TRACT
SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,REC1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIM1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MEC1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SIGM5_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
BCPAP_THYROID,BCPAP,THYROID
639V_URINARY_TRACT,639V_URINARY,TRACT
CL11_LARGE_INTESTINE,CL11_LARGE,INTESTINE
TT2609C02_THYROID,TT2609C02,THYROID
MEC2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MEC2_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
CL34_LARGE_INTESTINE,CL34_LARGE,INTESTINE
RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RCHACV_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
CAL120_BREAST,CAL120,BREAST
647V_URINARY_TRACT,647V_URINARY,TRACT
RH18_SOFT_TISSUE,RH18_SOFT,TISSUE
MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM16_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,F36P_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EJM_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
JIMT1_BREAST,JIMT1,BREAST
ML1_THYROID,ML1,THYROID
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AMO1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
COLO699_LUNG,COLO699,LUNG
JHUEM7_ENDOMETRIUM,JHUEM7,ENDOMETRIUM
KP1NL_PANCREAS,KP1NL,PANCREAS
KP1N_PANCREAS,KP1N,PANCREAS
M059J_CENTRAL_NERVOUS_SYSTEM,M059J_CENTRAL_NERVOUS,SYSTEM
MB157_BREAST,MB157,BREAST
OE21_OESOPHAGUS,OE21,OESOPHAGUS
SF8657_SKIN,SF8657,SKIN
SNUC2B_LARGE_INTESTINE,SNUC2B_LARGE,INTESTINE
NCIH2073_LUNG,NCIH2073,LUNG
HN_UPPER_AERODIGESTIVE_TRACT,HN_UPPER_AERODIGESTIVE,TRACT
HRT18_LARGE_INTESTINE,HRT18_LARGE,INTESTINE
HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HNT34_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PLB985_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKNO1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
MOLT3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLT3_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
HOP62_LUNG,HOP62,LUNG
EKVX_LUNG,EKVX,LUNG
OVCAR5_OVARY,OVCAR5,OVARY
UO31_KIDNEY,UO31,KIDNEY
TK10_KIDNEY,TK10,KIDNEY
SF268_CENTRAL_NERVOUS_SYSTEM,SF268_CENTRAL_NERVOUS,SYSTEM
SF539_CENTRAL_NERVOUS_SYSTEM,SF539_CENTRAL_NERVOUS,SYSTEM
SNB75_CENTRAL_NERVOUS_SYSTEM,SNB75_CENTRAL_NERVOUS,SYSTEM
HOP92_LUNG,HOP92,LUNG
ACCS_URINARY_TRACT,ACCS_URINARY,TRACT
MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
A427_LUNG,A427,LUNG
BT12_SOFT_TISSUE,BT12_SOFT,TISSUE
C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,C8166_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
CACO2_LARGE_INTESTINE,CACO2_LARGE,INTESTINE
HCC2429_LUNG,HCC2429,LUNG
HCC2450_LUNG,HCC2450,LUNG
HCC461_LUNG,HCC461,LUNG
HCC515_LUNG,HCC515,LUNG
INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,INA6_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
KD_SOFT_TISSUE,KD_SOFT,TISSUE
KPMRTRY_SOFT_TISSUE,KPMRTRY_SOFT,TISSUE
MON_SOFT_TISSUE,MON_SOFT,TISSUE
NCIH2004RT_SOFT_TISSUE,NCIH2004RT_SOFT,TISSUE
NCIH2077_LUNG,NCIH2077,LUNG
NCIH2882_LUNG,NCIH2882,LUNG
NCIH2887_LUNG,NCIH2887,LUNG
NCIH1819_LUNG,NCIH1819,LUNG
NCIH3122_LUNG,NCIH3122,LUNG
NHAHTDD_CENTRAL_NERVOUS_SYSTEM,NHAHTDD_CENTRAL_NERVOUS,SYSTEM
OCIMY5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIMY5_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OPM1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
PC9_LUNG,PC9,LUNG
SKNEP1_BONE,SKNEP1,BONE
SKPNDW_BONE,SKPNDW,BONE
STM9101_SOFT_TISSUE,STM9101_SOFT,TISSUE
SIHA_CERVIX,SIHA,CERVIX
TM87_SOFT_TISSUE,TM87_SOFT,TISSUE
TTC709_SOFT_TISSUE,TTC709_SOFT,TISSUE
TTC1240_SOFT_TISSUE,TTC1240_SOFT,TISSUE
TTC549_SOFT_TISSUE,TTC549_SOFT,TISSUE
TTC642_SOFT_TISSUE,TTC642_SOFT,TISSUE
BT16_SOFT_TISSUE,BT16_SOFT,TISSUE
CW9019_SOFT_TISSUE,CW9019_SOFT,TISSUE
D384_CENTRAL_NERVOUS_SYSTEM,D384_CENTRAL_NERVOUS,SYSTEM
D425_CENTRAL_NERVOUS_SYSTEM,D425_CENTRAL_NERVOUS,SYSTEM
D458_CENTRAL_NERVOUS_SYSTEM,D458_CENTRAL_NERVOUS,SYSTEM
D556_CENTRAL_NERVOUS_SYSTEM,D556_CENTRAL_NERVOUS,SYSTEM
JR_SOFT_TISSUE,JR_SOFT,TISSUE
MKL1_SKIN,MKL1,SKIN
MKL2_SKIN,MKL2,SKIN
PETA_SKIN,PETA,SKIN
SMSCTR_SOFT_TISSUE,SMSCTR_SOFT,TISSUE
SUMB002_CENTRAL_NERVOUS_SYSTEM,SUMB002_CENTRAL_NERVOUS,SYSTEM
BB30HNC_UPPER_AERODIGESTIVE_TRACT,BB30HNC_UPPER_AERODIGESTIVE,TRACT
BB49HNC_UPPER_AERODIGESTIVE_TRACT,BB49HNC_UPPER_AERODIGESTIVE,TRACT
BICR10_UPPER_AERODIGESTIVE_TRACT,BICR10_UPPER_AERODIGESTIVE,TRACT
BICR78_UPPER_AERODIGESTIVE_TRACT,BICR78_UPPER_AERODIGESTIVE,TRACT
CA922_UPPER_AERODIGESTIVE_TRACT,CA922_UPPER_AERODIGESTIVE,TRACT
DOK_UPPER_AERODIGESTIVE_TRACT,DOK_UPPER_AERODIGESTIVE,TRACT
H3118_UPPER_AERODIGESTIVE_TRACT,H3118_UPPER_AERODIGESTIVE,TRACT
HO1N1_UPPER_AERODIGESTIVE_TRACT,HO1N1_UPPER_AERODIGESTIVE,TRACT
HO1U1_UPPER_AERODIGESTIVE_TRACT,HO1U1_UPPER_AERODIGESTIVE,TRACT
JHU011_UPPER_AERODIGESTIVE_TRACT,JHU011_UPPER_AERODIGESTIVE,TRACT
JHU022_UPPER_AERODIGESTIVE_TRACT,JHU022_UPPER_AERODIGESTIVE,TRACT
KON_UPPER_AERODIGESTIVE_TRACT,KON_UPPER_AERODIGESTIVE,TRACT
KOSC2_UPPER_AERODIGESTIVE_TRACT,KOSC2_UPPER_AERODIGESTIVE,TRACT
LB771HNC_UPPER_AERODIGESTIVE_TRACT,LB771HNC_UPPER_AERODIGESTIVE,TRACT
OSC19_UPPER_AERODIGESTIVE_TRACT,OSC19_UPPER_AERODIGESTIVE,TRACT
OSC20_UPPER_AERODIGESTIVE_TRACT,OSC20_UPPER_AERODIGESTIVE,TRACT
PCI15A_UPPER_AERODIGESTIVE_TRACT,PCI15A_UPPER_AERODIGESTIVE,TRACT
PCI30_UPPER_AERODIGESTIVE_TRACT,PCI30_UPPER_AERODIGESTIVE,TRACT
PCI38_UPPER_AERODIGESTIVE_TRACT,PCI38_UPPER_AERODIGESTIVE,TRACT
PCI4B_UPPER_AERODIGESTIVE_TRACT,PCI4B_UPPER_AERODIGESTIVE,TRACT
PCI6A_UPPER_AERODIGESTIVE_TRACT,PCI6A_UPPER_AERODIGESTIVE,TRACT
RPMI2650_UPPER_AERODIGESTIVE_TRACT,RPMI2650_UPPER_AERODIGESTIVE,TRACT
SAS_UPPER_AERODIGESTIVE_TRACT,SAS_UPPER_AERODIGESTIVE,TRACT
SAT_UPPER_AERODIGESTIVE_TRACT,SAT_UPPER_AERODIGESTIVE,TRACT
SKN3_UPPER_AERODIGESTIVE_TRACT,SKN3_UPPER_AERODIGESTIVE,TRACT
ESO26_OESOPHAGUS,ESO26,OESOPHAGUS
ESO51_OESOPHAGUS,ESO51,OESOPHAGUS
FLO1_OESOPHAGUS,FLO1,OESOPHAGUS
HCE4_OESOPHAGUS,HCE4,OESOPHAGUS
KYAE1_OESOPHAGUS,KYAE1,OESOPHAGUS
KYSE220_OESOPHAGUS,KYSE220,OESOPHAGUS
KYSE50_OESOPHAGUS,KYSE50,OESOPHAGUS
OACM51_OESOPHAGUS,OACM51,OESOPHAGUS
OACP4C_OESOPHAGUS,OACP4C,OESOPHAGUS
SKGT4_OESOPHAGUS,SKGT4,OESOPHAGUS
TE12_OESOPHAGUS,TE12,OESOPHAGUS
CESS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CESS_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
CTV1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CTV1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
KMOE2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMOE2_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
NKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NKM1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
QIMRWIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,QIMRWIL_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
BALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BALL1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
KARPAS231_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KARPAS231_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
MHHPREB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MHHPREB1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
MN60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MN60_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
ROS50_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ROS50_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SUPB8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUPB8_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
U698M_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,U698M_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
